text,label,class_name,url
"Джокович на русском поздравил Зверева с победой на «Ролан Гаррос». Сербский теннисистНовак Джоковична русском языке поздравил немцаАлександра Зверевас победой на «Ролан Гаррос» 2026 года. Об этом сообщается на странице спортсмена в Instagram (запрещенная в России соцсеть; принадлежит компании Meta, признанной экстремистской организацией и запрещенной вРФ). «Молодец, брат», — написал Джокович. Уже на английском он написал, что знает Зверева с десяти лет и всегда желал ему удачи, так как немец долгое время преодолевал огромный психологический барьер внутри себя. 7 июня Зверев впервые в карьересталпобедителем «Ролан Гаррос» в мужском одиночном разряде. В решающем матче спортсмен одержал победу над итальянцемФлавио Коболли. Встреча завершилась в пяти сетах со счетом 6:1, 4:6, 6:4, 6:7(5), 6:1.",0,sport,https://lenta.ru/news/2026/06/08/dzhokovich-na-russkom-pozdravil-zvereva-s-pobedoy-na-rolan-garros/
"Переживший остановку сердца игрок описал состояние после потери сознания во время матча. Полузащитник сборнойДанииКристиан Эриксенописал свое состояние после потери сознания во время товарищеского матча против национальной командыУкраины. Слова спортсмена приводятся на его странице в Instagram (запрещенная в России соцсеть; принадлежит компании Meta, признанной экстремистской организацией и запрещенной вРФ). Футболист рассказал, что с ним все в порядке и он находится дома с семьей. Эриксен уточнил, что инцидент отличается от произошедшего в 2021 году. «Я чувствую себя хорошо, уже начинаю восстанавливаться», — подытожил он. Эриксен появился в стартовом составе иупалв обморок. Встреча в Оденсе была остановлена во время второго тайма при счете 2:1 в пользу датчан.",0,sport,https://lenta.ru/news/2026/06/08/perezhivshiy-ostanovku-serdtsa-igrok-opisal-sostoyanie-posle-poteri-soznaniya-vo-vremya-matcha/
"Российский игрок НХЛ назвал недостатки Северной Америки. Российский нападающий клуба Национальной хоккейной лиги (НХЛ) «Миннесота Уайлд» Данила Юров назвал недостатки Северной Америки. Его слова приводит«Рейтинг Букмекеров». Хоккеист заявил, что у американцев совершенно другой менталитет. По его мнению, они не искренни. «Человек может подойти поговорить, и ты понимаешь, что он сделал это просто потому, что должен подойти. И через минуту даже не вспомнят, о чем я говорил», — рассказал Юров. Нынешний сезон стал дебютным в НХЛ для 22-летнего Юрова. Он является обладателем Кубка Гагарина 2024 года в составемагнитогорского «Металлурга».",0,sport,https://lenta.ru/news/2026/06/08/rossiyskiy-igrok-nhl-nazval-nedostatki-severnoy-ameriki/
"Роднина фразой «что вытворяют» оценила переход сына Плющенко в сборную Азербайджана. Трехкратная олимпийская чемпионка, депутатГосдумыИрина Роднинаоценила реакцию на переход 13-летнегоАлександра Плющенко, сына двукратного олимпийского чемпиона по фигурному катаниюЕвгения Плющенко, в сборнуюАзербайджана. Ее слова приводит«Спорт-Экспресс». «Что вытворяют с бедным мальчиком Сашей Плющенко, которому всего 13 лет», — заявила Роднина. Она посчитала, что юный спортсмен подвергается буллингу. Ранее решение Плющенко-младшего поддержал двукратный призер Олимпиад и заслуженный тренер РоссииАлександр Жулин. По словам специалиста, в этом переходе нет ничего страшного.",0,sport,https://lenta.ru/news/2026/06/08/rodnina-frazoy-chto-vytvoryayut-otsenila-perehod-syna-plyuschenko-v-sbornuyu-azerbaydzhana/
"Двукратная олимпийская чемпионка назвала преимущество Москвы над регионами. Двукратная олимпийская чемпионка по биатлону Светлана Ишмуратова назвала преимущество Москвы над регионами. Ее слова приводитSport24. Одним из главных плюсов российской столицы Ишмуратова назвала общественный транспорт. «У нас есть метро, автобусы — все эти моменты изменяют картинку нашей столицы. Это большой плюс по сравнению с регионами», — заявила бывшая биатлонистка. Также Ишмуратова высказалась о распределении налогов между Москвой и регионами. Она заявила, что столица в состоянии прокормить сама себя. «Налоги, которые получает Москва и регионы, — несравнимы. Многие регионы — дотационные, говорить об их более правильном развитии мы не можем, потому что просто не хватает денег», — сказала Ишмуратова.",0,sport,https://lenta.ru/news/2026/06/08/dvukratnaya-olimpiyskaya-chempionka-nazvala-preimuschestvo-moskvy-nad-regionami/
"Предсказавший трех чемпионов мира подряд математик назвал фаворита турнира-2026. Немецкий математик Йоахим Клемент предсказал, кто выиграет чемпионат мира (ЧМ) по футболу 2026 года. Об этом сообщаетDer Spiegel. Клемент назвал фаворитом турнира сборную Нидерландов. По мнению Клемента, командаРональда Куманавозьмет реванш у испанцев, победив их в полуфинале, а затем обыграетПортугалиюКриштиану Роналдув финале. Он посчитал, что европейская сборная сможет победить на другом континенте. Клемент безошибочно определил победителей трех предыдущих турниров. Он предсказал победу сборнойГерманиивБразилиив 2014 году,Франциив 2018-м иАргентинычетыре года назад.",0,sport,https://lenta.ru/news/2026/06/08/predskazavshiy-treh-chempionov-mira-podryad-matematik-nazval-favorita-turnira-2026/
"Роднина оценила перспективы Валиевой в политике. Трехкратная олимпийская чемпионка по фигурному катанию, депутат Госдумы Ирина Роднина оценила перспективы фигуристки Камилы Валиевой в политике. Ее слова приводитSport24. «Не знаю, смогла бы она себя проявить там или нет. Мне кажется, Камила еще что-то в спорте не досказала, поэтому, наверняка, в ее планы входит что-то решать в том, чем она сейчас занимается», — сказала Роднина. Также трехкратная олимпийская чемпионка по фигурному катанию ответила на вопрос, может ли она представить Валиеву в Госдуме. «Да всех можно представить. Но представлять надо не мне, а избирателям. Давайте дождемся, когда придет время, а не будем гадать на кофейной гуще», — заявила Роднина.",0,sport,https://lenta.ru/news/2026/06/08/rodnina-otsenila-perspektivy-valievoy-v-politike/
"Оценены шансы сборной России по футболу разгромить Тринидад и Тобаго. Букмекеры оценили шансысборной Россиипо футболу одержать разгромную победу над национальной командой Тринидада и Тобаго в товарищеском матче. Об этом сообщаетSport24. Аналитики назвали сборную России явным фаворитом встречи. Коэффициент на победу командыВалерия Карпинасоставляет 1,07.Разгромная победа россиян оценивается коэффициентом 1,58. За 8,50 можно поставить на то, что сборная Тринидада и Тобаго не проиграет. Матч против команды Тринидада и Тобаго пройдет вКалининграде9 июня. Он начнется в 20:00 по московскому времени.",0,sport,https://lenta.ru/news/2026/06/08/otseneny-shansy-sbornoy-rossii-po-futbolu-razgromit-trinidad-i-tobago/
"«Реал» потребовал лишить «Барселону» 23 титулов. Мадридский«Реал»обратился вСоюз европейских футбольных ассоциаций(УЕФА) с требованием аннулировать все трофеи «Барселоны», полученные в период выплат бывшему вице-президенту судейского комитетаИспанииЭнрике Негрейре. Об этом сообщаетDiario AS. По информации источника, «Реал» уже передал в УЕФА досье с юридическими аргументами и доказательствами, которых, по мнению клуба, достаточно для вынесения наказания. «Реал» требует отстранить «Барселону» от европейских соревнований и аннулировать все титулы, завоеванные каталонцами в период 2001–2018 годов. За это время «Барселона» выиграла девять чемпионатов Испании, шесть Кубков Испании и восемь Суперкубков страны.",0,sport,https://lenta.ru/news/2026/06/08/real-potreboval-lishit-barselonu-23-titulov/
"Оценены шансы Андреевой выиграть оставшиеся в 2026 году турниры серии «Большого шлема». Оценены шансы российской теннисистки Мирры Андреевой выиграть оставшиеся в 2026 году турниры серии «Большого шлема». Об этом сообщаетBetonmobile. Букмекеры считают, что Андреева будет претендовать на победу на Уимблдоне и US Open. На турнире вЛондоне, который пройдет с 29 июня по 12 июля, россиянка занимает пятое место в списке фаворитов послеАрины Соболенко, Иги Швентек,Елены Рыбакинойи Коко Гауфф. Вероятность титула россиянки оценивается коэффициентом 9,00. На Открытом чемпионатеСША, который состоится c 30 августа по 13 сентября, Андреева находится в топ-4 фаворитов вместе с Соболенко, Швентек и Гауфф. Сделать ставку на ее победу можно с коэффициентом 10,00. Вероятность победы 19-летней россиянки на обоих турнирах оценивается в 1,11 процента. Поставить на этот исход можно с котировкой 90,00.",0,sport,https://lenta.ru/news/2026/06/08/otseneny-shansy-andreevoy-vyigrat-ostavshiesya-v-2026-godu-turniry-serii-bolshogo-shlema/
